Sentence,Label
Potrei vedere l’ultima misurazione del ritmo cardiaco che ho registrato?,Richiesta
Posso avere la media delle mie misurazioni di oggi?,Richiesta
Posso vedere un riepilogo dei miei dati personali inseriti?,Richiesta
"A presto, assistente! Spero che tu possa continuare ad aiutarmi a gestire la mia ipertensione.",Generale
Vorrei inserire le misurazioni fatte,Generale
Inventa una storia,Generale
quale è il tuo romanzo preferito?,Generale
hai mai provato a fare arrampicata?,Generale
mi dici a cosa serve misurare la frequenza?,Generale
"ciao, assistente! sono pronto per un altro giorno di successi nella gestione della mia ipertensione.",Generale
Il mio amico sta male,Generale
come il peso può influenzare il mio diabete?,Generale
quali sono i fattori di rischio per l’osteoporosi?,Generale
voglio inserirti i dati relativi alla mia pressione.,Generale
Come viene diagnosticato il cancro al seno?,Generale
"addio, assistente! grazie per avermi fornito informazioni preziose sulla mia ipertensione.",Generale
"ho fatto nuove misurazioni, posso inviartele?",Generale
Vorrei inserire le misurazioni fatte,Generale
Posso registrare i dati della mia frequenza cardiaca di questa settimana?,Generale
Qual è il tuo genere di film preferito?,Generale
posso inserire i dati della mia pressione sanguigna di ieri?,Generale
hai mai provato a fare paracadutismo?,Generale
come l’alcol può influenzare il mio fegato?,Generale
qual è il tuo periodo storico preferito?,Generale
come il clima può influenzare l’ipertensione?,Generale
Potresti aiutarmi a registrare le mie nuove letture della pressione sanguigna?,Generale
"alla prossima, assistente! non vedo l’ora di continuare a lavorare con te sulla mia ipertensione.",Generale
come la genetica può influenzare il mio rischio di cancro?,Generale
come il diabete può influenzare la mia vista?,Generale
Quali sono i sintomi dell’ipertensione?,Generale
"Ciao, assistente! Spero che tu possa darmi qualche consiglio utile per la mia ipertensione oggi.",Generale
voglio inserirti i dati relativi alla mia pressione.,Generale
dimmi le regole per misurare correttamente la pressione,Generale
La mia frequenza cardiaca oggi è 72 battiti al minuto.,Inserimento
"Ho appena controllato, la mia pressione è 140/85 e la mia frequenza cardiaca è 75.",Inserimento
La mia pressione è 120/60,Inserimento
"ho appena fatto un controllo, la mia pressione è 135/85.",Inserimento
80,Inserimento
ecco i miei valori 120 80 75,Inserimento
Ho appena controllato e la mia pressione sanguigna e frequenza cardiaca sono di 130/75 mmHg e 69 bpm.,Inserimento
ho misurato la frequenza ed è di 80,Inserimento
Frequenza cardiaca di 100,Inserimento
Ho registrato un valore di frequenza cardiaca di 75 bpm oggi.,Inserimento
Sono Sara e ho 15 anni,Inserimento
registrami questa frequenza. Il valore è di 85,Inserimento
Ho iniziato a seguire una dieta a basso contenuto di sale per aiutare a controllare la mia pressione sanguigna.,Inserimento
la mia pressione sanguigna è 130/80 e il mio battito cardiaco è 70.,Inserimento
"ho appena controllato, la mia pressione è 140/85 e la mia frequenza cardiaca è 75.",Inserimento
Vorrei emmorizzare i miei dati: la pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.,Inserimento
Sto cercando di consumare più frutta e verdura per mantenere una dieta equilibrata.,Inserimento
"ho appena fatto un controllo, la mia pressione è 135/85 e il mio polso è 70.",Inserimento
Ho 45 anni e non ho mai fatto attività fisica.,Inserimento
Ho notato che la mia pressione sanguigna aumenta quando sono nervoso.,Inserimento
la mia alimentazione non è mai stata curata.,Inserimento
ecco le mie misurazioni. Pressione 110/80,Inserimento
ho avuto un episodio di nausea questa mattina.,Inserimento
Frequenza cardiaca di 100,Inserimento
Ho fatto nuove misurazioni: ecco la mia pressione sanguigna è 140/90 e il mio battito cardiaco è 75.,Inserimento
Ho iniziato una nuova dieta per ridurre il sale.,Inserimento
mi sento molto sereno riguardo alla mia pressione alta.,Umore
Mi sento molto preoccupato per la mia pressione alta.,Umore
Sono molto preoccupato per i miei livelli di pressione sanguigna.,Umore
"Sono un po’ preoccupato, la mia pressione sanguigna è stata instabile ultimamente.",Umore
non ho nervosismo per la mia pressione alta.,Umore
"Ho notato che la mia frequenza cardiaca è molto bassa, è normale?",Umore
"Ho avuto un po’ di nausea e ho notato che la mia pressione sanguigna è bassa, cosa dovrei fare?",Umore
ho paura che la mia ipertensione possa causare problemi di memoria.,Umore
Sono preoccupato per i miei livelli di pressione sanguigna.,Umore
sono molto tranquillo riguardo alla mia ipertensione.,Umore
sono molto preoccupato per i miei livelli di pressione sanguigna.,Umore
