"Sentence","Label"
"Qual è il tuo museo d’arte preferito?","Generale"
"riportami le misurazioni su pressione e frequnza nell'ultima settimana","Richiesta"
"Ho X anni e ho una dieta equilibrata.","inserimentoDatiGenerali"
"Pressione 120 80","inserimentoDatiPressione"
"vorrei la mia frequenza cardiaca media dell'ultima settimana","Richiesta"
"Ho avuto problemi di digestione.","Generale"
"ho smesso di bere tè nero da due settimane.","inserimentoDatiGenerali"
"120 78","inserimentoDatiPressione"
"Ho 50 anni e non bevo alcol.","inserimentoDatiGenerali"
"Ho accompagnato i miei figli a scuola.","Generale"
"Ho iniziato una nuova dieta ricca di fibre.","inserimentoDatiGenerali"
"Qual è la mia media di pressione sanguigna degli ultimi 7 giorni?","Richiesta"
"Posso aggiungere i dati della mia pressione sanguigna di domani?","Generale"
"Quando devo fare un collquio il mio cuore è infermabile.","Umore"
"Sto cercando di ridurre lo stress attraverso tecniche di rilassamento come lo yoga e la meditazione.","inserimentoDatiGenerali"
"posso aggiungere i dati della mia pressione sanguigna di questa mattina?","Generale"
"ciao, assistente! sono pronto per un altro giorno di apprendimento sulla mia ipertensione.","Generale"
"Desidero consultare le registrazioni degli ultimi 7 giorni.","Richiesta"
"ho fatto nuove misurazioni, posso inviartele?","Generale"
"Ho avuto mal di testa frequenti.","Generale"
"Vorrei vedere le letture della frequenza cardiaca che ho registrato nell’ultimo mese.","Richiesta"
"Ho notato che la mia pressione sanguigna e frequenza cardiaca sono di 135/80 mmHg e 73 bpm.","inserimentoDatiTotali"
"puoi fornirmi tutti i dati registrati sulla pressione e sulla frequenza?","Richiesta"
"Dammi il valor medio di pressione nell'ultima settimana","Richiesta"
"posso aggiungere i dati della mia pressione sanguigna del prossimo anno?","Generale"
"La mia pressione sanguigna oggi è X/Y e la mia frequenza cardiaca è Z bpm.","inserimentoDatiTotali"
"Dopo un trauma quanto tempo dovrei riposare?","Generale"
"Posso aggiungere i dati della mia pressione sanguigna di questa settimana?","Generale"
"Desidero visualizzare il mio dato più recente sulla frequenza cardiaca.","Richiesta"
"Vorrei dare un’occhiata alle ultime letture della pressione che ho inserito nell’ultima settimana.","Richiesta"
"Desidero visualizzare le mie letture dell’ultimo mese.","Richiesta"
"Ho 4 figli","inserimentoDatiGenerali"
"Quali cambiamenti nello stile di vita posso fare per gestire l’ipertensione?","Generale"
"Media pressione questa settimana","Richiesta"
"Hai mai visitato la Costa Amalfitana?","Generale"
"sono molto nervoso per la mia ipertensione.","Umore"
"Mi sento un po’ stanco e ho notato che la mia pressione sanguigna è più alta del solito.","Umore"
"Ho iniziato una nuova dieta povera di zuccheri.","inserimentoDatiGenerali"
"X su Y","inserimentoDatiPressione"
"ho fatto una misurazione sulla frequenza: 80 bpm","inserimentoDatiFrequenza"
"Posso inserire le mie ultime misurazioni?","Generale"
"Voglio la media dei dati registrati sulla pressione","Richiesta"
"quali sono i rischi per la salute associati all’ipertensione?","Generale"
"Ho avuto problemi di udito.","Generale"
"Quali sono i fattori di rischio per l’ipertensione?","Generale"
"ho notato che la mia pressione sanguigna aumenta quando sono stressato.","inserimentoDatiGenerali"
"Mi sento stanco tutto il tempo.","Generale"
"Desidero visualizzare i miei dati più recenti.","Richiesta"
"Hai mai provato a dipingere?","Generale"
"Ho smesso di bere bevande energetiche da un mese.","inserimentoDatiGenerali"
"Ho appena controllato e la mia frequenza cardiaca è di 69 bpm.","inserimentoDatiFrequenza"
"Vorrei rivedere i dati più recenti sulla pressione che ho inserito.","Richiesta"
"Se ho un paziente iperteso, aumenta molto il mio rischio di sviluppare ipertensione?","Generale"
"110 frequenza","inserimentoDatiFrequenza"
"Media pressione ultimi due anni","Richiesta"
"Frequenza cardiaca di 100","inserimentoDatiFrequenza"
"Media frequenza ultimi 30 giorni","Richiesta"
"Vorrei vedere tutte le informazioni che ho condiviso in passato.","Richiesta"
"Potrei controllare le ultime misurazioni della pressione che ho registrato nell’ultima settimana?","Richiesta"
"L'ipertensione ha conseguenze sui polmoni?","Generale"
"La mia pressione stamattina era alta","Umore"
"mi sento bene avendo tutti i miei dati sotto controllo","Umore"
"non sono stressato per la mia pressione alta.","Umore"
"posso registrare i dati della mia frequenza cardiaca dell’anno scorso?","Generale"
"vorrei le letture su frequenza e pressione delle ultime due settimane","Richiesta"
"Mi piace mangiare tanti dolci","Generale"
"La mia pressione oggi è A su B e la mia frequenza cardiaca è X bpm.","inserimentoDatiTotali"
"Posso registrare i dati della mia frequenza cardiaca di questa mattina?","Generale"
"potresti indicarmi tutti i dati registrati sulla pressione e sulla frequenza?","Richiesta"
"Potresti spiegarmi cosa significa avere la pressione alta?","Generale"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi tre anni?","Richiesta"
"ho fatto una misurazione. Frequenza 80 e pressione 130/90","inserimentoDatiTotali"
"Hai visto l’ultimo film di Christopher Nolan?","Generale"
"hai mai visitato il colosseo?","Generale"
"Posso vedere un riassunto di tutte le informazioni che ho fornito?","Richiesta"
"ho rimediato una frattura, come dovrei fare per guarire il prima possibile?","Generale"
"Vorrei rivedere tutti i dati sulla frequenza  che ho inserito.","Richiesta"
"Mi piacerebbe esaminare i dati sulla frequenza cardiaca che ho registrato nell’ultimo mese.","Richiesta"
"Vorrei vedere un elenco di tutte le informazioni che ho fornito.","Richiesta"
"Frequenza 100","inserimentoDatiFrequenza"
"Hola","Generale"
"Quant è importante tenere sotto traccia l'ipertensione?","Generale"
"Posso registrare i dati della mia frequenza cardiaca di stasera?","Generale"
"Sono molto pacifico riguardo alla mia ipertensione.","Umore"
"Qual è la mia media di pressione sanguigna degli ultimi 365 giorni?","Richiesta"
"come lo stress può influenzare la mia depressione?","Generale"
"Qual è la mia media di pressione sanguigna dell’anno scorso?","Richiesta"
"Qual è la media delle mie misurazioni degli ultimi dodici mesi?","Richiesta"
"Mi sono rotta una caviglia","Generale"
"non ho paura della mia ipertensione.","Umore"
"Ciao, assistente! Spero che tu possa darmi qualche consiglio utile per la mia ipertensione oggi.","Generale"
"posso registrare la mia frequenza cardiaca di oggi?","Generale"
"Qual è la media delle mie misurazioni di questa settimana?","Richiesta"
"hai mai visitato il museo del louvre?","Generale"
"sono molto calmo riguardo alla mia ipertensione.","Umore"
"ho notato che la mia pressione sanguigna aumenta quando sono nervoso.","inserimentoDatiGenerali"
"Qual è la mia media di pressione sanguigna delle ultime quattro settimane?","Richiesta"
"potresti ricordarmi i dati su pressione e frequenza registrati?","Richiesta"
"Vorrei vedere le letture della frequenza che ho registrato negli ultimi sette giorni.","Richiesta"
"Mi sento in forma.","Umore"
"Ho avuto un attacco di panico ieri sera.","inserimentoDatiGenerali"
"Qual è la mia media di frequenza cardiaca del mese scorso?","Richiesta"
"Vorrei rivedere tutti i dati sulla pressione che ho inserito.","Richiesta"
"come posso gestire il mio diabete?","Generale"
"Vorrei vedere tutte le informazioni che ho dato recentemente.","Richiesta"
"ho paura che la mia pressione alta possa causare problemi di equilibrio.","Umore"
"Sto cercando di mantenere un peso sano per ridurre il rischio di ipertensione.","inserimentoDatiGenerali"
"Posso registrare i dati della mia frequenza cardiaca di ieri?","Generale"
"posso registrare i dati della mia frequenza cardiaca di ieri?","Generale"
"la mia pressione sanguigna è 120/80.","inserimentoDatiPressione"
"misurazioni della pressione sanguigna dell’ultima settimana in un grafico","Richiesta"
"quali sono i fattori di rischio per l’ipertensione?","Generale"
"Posso vedere un riassunto di tutte le informazioni che ho fornito finora?","Richiesta"
"quale è il tuo romanzo preferito?","Generale"
"quali sono i rischi per la salute associati all’obesità?","Generale"
"Potrei controllare le ultime misurazioni della pressione che ho registrato nell’ultimo mese?","Richiesta"
"Ricordami l'ultima misurazione inserita sulla pressione?","Richiesta"
"mostra i dati su frequenza e pressione più recenti","Richiesta"
"Salve, come puoi aiutarmi?","Generale"
"Dammi il valor medio di frequenza nell'ultima settimana","Richiesta"
"Ho appena finito di fare una corsa, sono pieno di energie.","Generale"
"ho paura che la mia pressione alta possa causare problemi alla vista.","Umore"
"La mia pressione sanguigna è 140/90.","inserimentoDatiPressione"
"Vorrei rivedere i dati sulla pressione che ho inserito nell’ultimo mese.","Richiesta"
"La mia pressione sanguigna più recente è di 120/70 mmHg.","inserimentoDatiPressione"
"ciao, assistente! sono pronto per affrontare la mia ipertensione con il tuo aiuto.","Generale"
"Desidero visualizzare tutti i miei dati sulla frequenza.","Richiesta"
"Qual è la mia media di frequenza cardiaca dell’anno scorso?","Richiesta"
"vorrei registrare i miei sintomi di oggi.","Generale"
"Non ricordo la traccia dei dati nell'ultimo mese","Richiesta"
"Ho tutti i dolori del mondo","Generale"
"come l’alcol può influenzare il mio fegato?","Generale"
"Mostrami con un immagine i valori sulla mia pressione?","Richiesta"
"ho iniziato una nuova dieta ricca di fibre.","inserimentoDatiGenerali"
"Hai mai visitato il Colosseo?","Generale"
"Ho qualche misura di pressione alta ogni tanto, ma immagino sia normale","Umore"
"no, non hai capito","Generale"
"La mia ultima lettura della frequenza cardiaca era di 68 bpm.","inserimentoDatiFrequenza"
"Non mi sento particolarmente bene. Le ultime misurazioni mi stanno preoccupando","Umore"
"La mia pressione oggi è .../...e la mia frequenza cardiaca è ... bpm.","inserimentoDatiTotali"
"Ho appena controllato, la mia pressione è 140/85.","inserimentoDatiPressione"
"Ho appena fatto un controllo, il mio polso è 70.","inserimentoDatiFrequenza"
"Qual è la mia media di frequenza cardiaca di quest’anno?","Richiesta"
"Dammi le medie","Richiesta"
"hai mai visitato la torre eiffel?","Generale"
"Qual è la mia media di frequenza cardiaca delle ultime 24 ore?","Richiesta"
"Ho avuto un episodio di sudorazione eccessiva la scorsa notte.","inserimentoDatiGenerali"
"come la genetica può influenzare il mio rischio di cancro?","Generale"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca della scorsa settimana?","Richiesta"
"Ho letto un libro","Generale"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca di quest’anno?","Richiesta"
"come il clima può influenzare l’ipertensione?","Generale"
"posso inserire i dettagli sulla mia condizione fisica?","Generale"
"vorrei aggiornare i miei dati sulla pressione sanguigna.","Generale"
"mi daresti l'andamento di pressione nell'ultima settimana?","Richiesta"
"Dammi la mia frequenza","Richiesta"
"Vorrei rivedere i dati sulla pressione che ho inserito negli ultimi sette giorni.","Richiesta"
"La mia pressione oggi è 120/80.","inserimentoDatiPressione"
"Sono molto tranquillo riguardo alla mia pressione alta.","Umore"
"Hai mai visitato il Grand Canyon?","Generale"
"Ho avuto problemi di vista.","Generale"
"Vorrei vedere tutte le informazioni che ho condiviso recentemente.","Richiesta"
"Potrei controllare le misurazioni che ho registrato nelle ultime 4 settimane?","Richiesta"
"il mio battito cardiaco è 75 battiti al minuto.","inserimentoDatiFrequenza"
"Media frequenza ultimi tre anni","Richiesta"
"Forniscimi i dati della pressione sanguigna?","Richiesta"
"Vorrei vedere un elenco di tutte le informazioni che ho fornito recentemente.","Richiesta"
"Ue, assistente! Spero tu possa darmi qualche suggerimento su come gestire la mia ipertensione.","Generale"
"ho notato che il mio livello di stress è aumentato ultimamente.","inserimentoDatiGenerali"
"Qual è la mia media di pressione sanguigna degli ultimi due anni?","Richiesta"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca delle ultime quattro settimane?","Richiesta"
"Dammi tutte le mie misurazioni inerenti alla pressione in un grafico","Richiesta"
"Voglio vedere i dati relativi alla frequenza","Richiesta"
"Desidero conservare le mie recenti letture della pressione arteriosa nel mio registro sanitario.","Generale"
"78 125","inserimentoDatiPressione"
"Desidero consultare i dati delle ultime 4 settimane","Richiesta"
"qual è il tuo sport preferito?","Generale"
"come l’ambiente può influenzare l’ipertensione?","Generale"
"Vorrei vedere un riepilogo di tutte le informazioni che ho inserito.","Richiesta"
"Vorrei vedere tutte le letture della frequenza cardiaca che ho registrato.","Richiesta"
"Media frequenza ultimi dodici mesi","Richiesta"
"Sono molto ansioso per la mia ipertensione.","Umore"
"Qual è la mia ultima misurazione della frequenza cardiaca visualizzata?","Richiesta"
"buongiorno, assistente! sono pronto per affrontare la mia ipertensione con il tuo aiuto.","Generale"
"Quali sono i valori generali della mia frequenza?","Richiesta"
"Qual è la mia media di pressione sanguigna degli ultimi sei mesi?","Richiesta"
"Mi piacerebbe sapere cosa fare per tenere la pressione sotto controllo","Generale"
"Mi sento un po’ debole e la mia pressione sanguigna è alta, dovrei andare al pronto soccorso?","Umore"
"sono molto preoccupato per i miei livelli di pressione sanguigna.","Umore"
"come il sale può influenzare l’ipertensione?","Generale"
"Vorrei una torta per colazione","Generale"
"Ho appena controllato e la mia pressione sanguigna e frequenza cardiaca sono di 130/75 mmHg e 69 bpm.","inserimentoDatiTotali"
"Buonasera, assistente! Spero che tu possa aiutarmi a capire meglio la mia ipertensione.","Generale"
"Ciao, assistente! Spero che tu possa darmi qualche suggerimento su come gestire la mia ipertensione.","Generale"
"posso registrare i dati della mia frequenza cardiaca del mese scorso?","Generale"
"che agitazione! non capisco perchè la misurazioni sulla frequenza mostrano risultati anomali","Umore"
"Ho avuto un po’ di vertigini oggi, potrebbe essere legato alla mia pressione sanguigna?","Umore"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca dell’anno scorso?","Richiesta"
"La mia frequenza cardiaca oggi è 75 bpm.","inserimentoDatiFrequenza"
"Qual è la mia media di pressione sanguigna del mese scorso?","Richiesta"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi nove mesi?","Richiesta"
"Come curo la botta presa alla schiena?","Generale"
"Potrei controllare le misurazioni dei sette giorni precedenti?","Richiesta"
"Mi piacerebbe esaminare i dati sulla frequenza che ho registrato nell’ultima settimana.","Richiesta"
"Media frequenza questo mese","Richiesta"
"Quali sono le opzioni di trattamento farmacologico per l’ipertensione?","Generale"
"ho appena misurato la mia frequenza cardiaca, è 75 battiti al minuto.","inserimentoDatiFrequenza"
"qual è il tuo periodo storico preferito?","Generale"
"ho avuto un episodio di mancanza di respiro ieri.","inserimentoDatiGenerali"
"come il sonno può influenzare la mia ansia?","Generale"
"Ecco i miei dati di oggi: la mia pressione sanguigna è 135/85 e la mia frequenza cardiaca è 72.","inserimentoDatiTotali"
"vorrei la pressione media dell'ultima settimana","Richiesta"
"Qual è l'andamento delle misurazioni sulla pressione?","Richiesta"
"mi sento molto sereno riguardo alla mia pressione alta.","Umore"
"Media frequenza","Richiesta"
"Dammi media freq","Richiesta"
"Qual è la media delle mie misurazioni di quest’anno?","Richiesta"
"Qual è la mia media di pressione sanguigna della scorsa settimana?","Richiesta"
"il mio andamento medio è regolare?","Richiesta"
"Qual è la mia media di frequenza cardiaca di questa settimana?","Richiesta"
"Desidero visualizzare i miei dati più recenti sulla pressione.","Richiesta"
"voglia sia i dati sulla frequenza che sulla pressione","Richiesta"
"Ho avuto un po’ di nausea e ho notato che la mia pressione sanguigna è bassa, cosa dovrei fare?","Umore"
"Mi piacerebbe controllare le ultime letture che ho registrato.","Richiesta"
"come il caffè può influenzare il mio sonno?","Generale"
"Fumo molto","inserimentoDatiGenerali"
"come lo stress può influenzare l’ipertensione?","Generale"
"posso inserire la mia pressione sanguigna di oggi?","Generale"
"voglio sia i dati sulla pressione che sulla frequenza","Richiesta"
"Media frequenza ieri","Richiesta"
"Ultima misurazione","Richiesta"
"Qual è la media delle mie misurazioni della scorsa settimana?","Richiesta"
"Potresti mostrarmi le mie misurazioni della pressione dell’ultimo mese?","Richiesta"
"Dammi la lista dei miei dati","Richiesta"
"registrami questa frequenza. Il valore è di 85","inserimentoDatiFrequenza"
"ho appena controllato, la mia pressione è 140/85 e la mia frequenza cardiaca è 75.","inserimentoDatiTotali"
"Ho appena controllato, la mia frequenza cardiaca è 75 battiti al minuto.","inserimentoDatiFrequenza"
"Ho avuto problemi di sonno ultimamente.","inserimentoDatiGenerali"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi due anni?","Richiesta"
"Come posso gestire il mio diabete?","Generale"
"Mi piacerebbe esaminare il dato più recente sulla frequenza che ho registrato.","Richiesta"
"Media pressione e frequenza","Richiesta"
"Ho smesso di fumare da un anno per migliorare la mia salute cardiovascolare.","inserimentoDatiGenerali"
"buonasera, assistente! spero che tu possa aiutarmi a capire meglio la mia ipertensione.","Generale"
"Media frequenza ultime 24 ore","Richiesta"
"Vorrei vedere le misurazioni che ho registrato nell’ultima settimana.","Richiesta"
"non ho nervosismo per la mia ipertensione.","Umore"
"Vorrei vedere un riepilogo di tutte le informazioni che ho inserito recentemente.","Richiesta"
"come il fumo può influenzare l’ipertensione?","Generale"
"Qual è la mia media di pressione sanguigna di ieri?","Richiesta"
"ho fatto delle misurazioni e quello che ho rilevato è una pressione di 130/90","inserimentoDatiPressione"
"Desidero visualizzare i miei dati sulla pressione dell’ultimo mese.","Richiesta"
"Mi sento in forma, ho fatto esercizio fisico regolarmente questa settimana.","Umore"
"Ho appena fatto una lettura e la mia frequenza è di 72 bpm.","inserimentoDatiFrequenza"
"Mi dai la media sulla pressione","Richiesta"
"sono molto tranquillo riguardo alla mia ipertensione.","Umore"
"Ho iniziato a prendere un nuovo farmaco per l’ipertensione.","inserimentoDatiGenerali"
"Qual è la mia ultima misurazione della pressione?","Richiesta"
"Posso vedere un riepilogo dei miei dati personali inseriti?","Richiesta"
"Posso aggiungere i dati della mia pressione sanguigna di questa mattina?","Generale"
"a presto, assistente! spero che tu possa continuare ad aiutarmi a gestire la mia ipertensione.","Generale"
"Come l’asma può influenzare la mia vita quotidiana?","Generale"
"vorrei inserire i dati del mio monitoraggio della pressione sanguigna di questa settimana.","Generale"
"Qual è il tuo piatto italiano preferito?","Generale"
"grazie","Generale"
"Voglio la media dei dati registrati sulla frequenza","Richiesta"
"Media frequenza ultimi 365 giorni","Richiesta"
"Potresti mostrarmi tutte le mie misurazioni della pressione?","Richiesta"
"Ho iniziato una nuova dieta povera di grassi saturi.","inserimentoDatiGenerali"
"Riporta le misurazioni della pressione arteriosa dell’ultima settimana graficamente","Richiesta"
"Qual è l'ultimo dato sulla pressione sanguigna?","Richiesta"
"Mi si è rotta l'auto, cosa posso fare?","Generale"
"non ho ansia per la mia ipertensione.","Umore"
"Ciao","Generale"
"cosa causa l’ipertensione?","Generale"
"non sono preoccupato per la mia pressione alta.","Umore"
"La mia pressione sanguigna è 125/80.","inserimentoDatiPressione"
"Dammi le mie misurazioni sulla pressione dell’ultima settimana?","Richiesta"
"Vorrei vedere tutte le informazioni che ho condiviso.","Richiesta"
"ho paura che la mia ipertensione possa causare problemi di concentrazione.","Umore"
"ultima misurazione della frequenza cardiaca","Richiesta"
"100","inserimentoDatiFrequenza"
"Ho appena controllato, la mia pressione è 140/85 e la mia frequenza cardiaca è 75.","inserimentoDatiTotali"
"ultima misurazione della pressione arteriosa","Richiesta"
"Media frequenza ultime quattro settimane","Richiesta"
"Il mio battito cardiaco è 70 battiti al minuto.","inserimentoDatiFrequenza"
"Ho iniziato una nuova dieta ricca di frutta e verdura.","inserimentoDatiGenerali"
"Qual è il miglior modo per effettuare una corretta misurazione delle pressione?","Generale"
"Si è rotto il ginocchio","Generale"
"Potrei controllare tutte le misurazioni che ho registrato?","Richiesta"
"Quali sono i dati della pressione sanguigna dell’ultimo mese?","Richiesta"
"vorrei aggiungere i dettagli sulla mia alimentazione.","Generale"
"Desidero visualizzare tutti i miei dati sulla pressione.","Richiesta"
"130/100","inserimentoDatiPressione"
"come il diabete può influenzare l’ipertensione?","Generale"
"Posso avere un riepilogo di tutte le informazioni che ho dato?","Richiesta"
"Ho smesso di bere caffè da una settimana.","inserimentoDatiGenerali"
"Vorrei vedere le misurazioni che ho registrato nell’ultimo mese.","Richiesta"
"Media pressione ultimi 7 giorni","Richiesta"
"Ho avuto un episodio di nausea questa mattina.","inserimentoDatiGenerali"
"Quali sono i fattori di rischio per l’osteoporosi?","Generale"
"posso registrare i dati della mia frequenza cardiaca del prossimo anno?","Generale"
"la mia frequenza cardiaca è 72 battiti al minuto.","inserimentoDatiFrequenza"
"Quali sono stati i valori sulla frequenza cardiaca nell'ultimo mese","Richiesta"
"Media pressione anno scorso","Richiesta"
"Sto cercando di limitare la caffeina per evitare picchi di pressione sanguigna.","inserimentoDatiGenerali"
"Voglio i dati registrati sulla pressione","Richiesta"
"non sono preoccupato per la mia ipertensione.","Umore"
"Potresti mostrarmi le mie misurazioni della frequenza cardiaca dell’ultimo mese?","Richiesta"
"La mia pressione sanguigna è 120/80 e il mio battito cardiaco è 70.","inserimentoDatiTotali"
"la mia pressione sanguigna è 140/90 e la mia frequenza cardiaca è 80 battiti al minuto.","inserimentoDatiTotali"
"quale è la tua città preferita in italia?","Generale"
"Frequenza cardiaca in arrivo... X bpm.","inserimentoDatiFrequenza"
"La mia pressione oggi è 130/90 e la mia frequenza cardiaca è 90 bpm.","inserimentoDatiTotali"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca di oggi?","Richiesta"
"Posso vedere la media delle mie misurazioni degli ultimi 30 giorni?","Richiesta"
"Buonasera, assistente! Spero tu possa aiutarmi a capire meglio la mia ipertensione.","Generale"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca del mese scorso?","Richiesta"
"vorrei registrare la mia ultima frequenza","Generale"
"ho iniziato a prendere un nuovo farmaco per l’ipertensione.","inserimentoDatiGenerali"
"Qual è la mia media di frequenza cardiaca di questo mese?","Richiesta"
"Media pressione","Richiesta"
"La mia pressione sanguigna è 130/85.","inserimentoDatiPressione"
"Dammi i dati sulla pressione","Richiesta"
"puoi dirmi il giusto metodo per misurare la pressione?","Generale"
"la mia pressione sanguigna è 140/90.","inserimentoDatiPressione"
"ho smesso di bere bevande energetiche da un mese.","inserimentoDatiGenerali"
"Avendo sotto controllo i miei dati mi sento inarrestabile.","Umore"
"Pressione 130 90 frequenza 96","inserimentoDatiTotali"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca di questo mese?","Richiesta"
"Ho notato che la mia pressione sanguigna scende quando mi rilasso.","inserimentoDatiGenerali"
"La frequenza è 140","inserimentoDatiFrequenza"
"Qual è la mia media di frequenza cardiaca degli ultimi tre anni?","Richiesta"
"Sono riuscito a fare una lunga passeggiata oggi senza affaticarmi.","Umore"
"ho iniziato una nuova dieta per ridurre il sale.","inserimentoDatiGenerali"
"Media frequenza scorsa settimana","Richiesta"
"Qual è il dato più recente","Richiesta"
"Vorrei dare un’occhiata all’ultima lettura della frequenza cardiaca che ho inserito.","Richiesta"
"Qual è la mia media di pressione sanguigna degli ultimi 30 giorni?","Richiesta"
"Vorrei vedere l’ultima lettura della frequenza che ho registrato.","Richiesta"
"Ho seguito il tuo consiglio e mi sento molto meglio, la mia pressione sanguigna è migliorata.","Umore"
"Vorrei inserire le misurazioni fatte","Generale"
"Qual è la mia media di pressione sanguigna delle ultime 24 ore?","Richiesta"
"Vorrei sapere se l'andamento della mia pressione è stabile nel tempo","Richiesta"
"Mi sento molto preoccupato per la mia pressione alta.","Umore"
"100 70","inserimentoDatiPressione"
"Media pressione scorsa settimana","Richiesta"
"posso aggiungere i dati della mia pressione sanguigna dell’anno scorso?","Generale"
"Media pressione ultimi tre anni","Richiesta"
"come l’età può influenzare la mia memoria?","Generale"
"la mia pressione sanguigna è 135/85 e la mia frequenza cardiaca è 72.","inserimentoDatiTotali"
"Addio, assistente! Grazie per avermi fornito informazioni preziose sulla mia ipertensione.","Generale"
"Media dati totali","Richiesta"
"Mi piacerebbe esaminare i dati registrati negli ultimi 7 giorni","Richiesta"
"Potresti mostrarmi un sommario di tutte le mie misurazioni?","Richiesta"
"come l’alcol può influenzare l’ipertensione?","Generale"
"mostrami le statistiche sulla frequenza","Richiesta"
"pressione di A su B.","inserimentoDatiPressione"
"Posso aggiungere i dati della mia pressione sanguigna di quest’anno?","Generale"
"Ho la pelle molto secca","Generale"
"Mostra in un grafico le misurazioni della frequenza cardiaca dell’ultimo mese","Richiesta"
"Desidero visualizzare i miei dati sulla frequenza cardiaca delle 4 settimane precedenti.","Richiesta"
"La pressione è 130 95 mentre la frequenza è 96","inserimentoDatiTotali"
"voglio che mi fornisci sia i dati sulla frequenza che i dati sulla pressione.","Richiesta"
"Media dei miei dati","Richiesta"
"Ho smesso di fumare da un mese.","inserimentoDatiGenerali"
"Mostrami le statistiche","Richiesta"
"come la menopausa può influenzare il mio peso?","Generale"
"Mi sento bene e infatti le misurazioni lo confermano","Umore"
"La mia pressione sanguigna e frequenza cardiaca sono di 125/75 mmHg e 70 bpm, secondo l’ultima misurazione.","inserimentoDatiTotali"
"buongiorno, assistente! spero che tu sia carico di energia per aiutarmi con la mia ipertensione oggi.","Generale"
"Mi piace la carbonara","Generale"
"Aiutami, c'è qualcosa che non va","Umore"
"non sono stressato per la mia ipertensione.","Umore"
"90 60","inserimentoDatiPressione"
"alla prossima, assistente! non vedo l’ora di continuare a lavorare con te sulla mia ipertensione.","Generale"
